"","lake_id","lake_name","county","latitude","longitude","reachcode"
"1",215,"Salish Pond, Northeast","Multnomah",45.52905,-122.44643,17090012004138
"2",217,"Willow Creek Reservoir","Morrow",45.3459,-119.54316,17070104005211
"3",218,"Fishhawk Lake","Clatsop",46.03311,-123.36791,17100202000569
"4",219,"Clear Lake","Clatsop",46.17271,-123.94264,17080006006567
"5",222,"Benson Pond","Multnomah",45.57791,-122.12368,17080001017459
"6",221,"Hartman Pond (Wahkeena Rearing Lake)","Multnomah",45.57639,-122.13534,17080001017458
"7",214,"Willow Creek Reservoir","Morrow",45.34557,-119.54284,NA
"8",223,"Ben Irving Reservoir","Douglas",43.04654,-123.56931,17100302014774
"9",37,"Lake Owyhee","Malheur",43.47641,-117.338,17050110002049
"10",216,"Salish Pond, Northwest","Multnomah",45.5291,-122.44959,17090012004137
"11",220,"Staats Lake","Marion",45.0064,-123.03135,NA
"12",72,"Cape Meares Lake","Tillamook",45.50808,-123.951,17100203010428
"13",38,"Paulina Lake","Deschutes",43.7196,-121.258,17070302000352
"14",39,"Mason Reservoir","Baker",44.68057,-118.05,17050203006928
"15",40,"Prineville Reservoir","Crook",44.12603,-120.714,17070304003596
"16",41,"Siltcoos Lake","Lane",43.87413,-124.087,17100207000082
"17",42,"Sturgeon Lake","Columbia",45.7264,-122.803,17090012000320
"18",43,"Suttle Lake","Jefferson",44.42175,-121.741,17070301000834
"19",44,"Sutton Lake","Lane",44.05889,-124.092,17100205005558
"20",45,"Tahkenitch Lake","Douglas",43.80083,-124.112,17100207000084
"21",46,"Tenmile Lake","Coos",43.56022,-124.143,17100304000657
"22",47,"Timothy Lake","Clackamas",45.12362,-121.783,17090011000850
"23",48,"Triangle Lake","Lane",44.17138,-123.573,17100206000577
"24",49,"Upper Klamath Lake","Klamath",42.37905,-121.934,18010203003572
"25",50,"Waldo Lake","Lane",43.72704,-122.04,17090001020920
"26",51,"Wallowa Lake","Wallowa",45.30923,-117.21,17060105000741
"27",52,"Wickiup Reservoir","Deschutes",43.68336,-121.74,17070301000907
"28",53,"Woahink Lake","Lane",43.91682,-124.1,17100207000081
"29",54,"Agate Reservoir","Jackson",42.40948,-122.77,17100307007004
"30",55,"Agency Lake","Klamath",42.5405,-121.976,18010203003571
"31",56,"Antelope Flat Reservoir","Crook",44.00572,-120.381,17070304003841
"32",57,"Antelope Reservoir","Malheur",42.89426,-117.228,17050108001505
"33",58,"Anthony Lakes","Baker",44.95967,-118.231,17050203001854
"34",59,"Applegate Lake","Jackson",42.03504,-123.134,17100309003967
"35",60,"Badger Lake","Hood River",45.29999,-121.562,17070306002015
"36",61,"Balm Creek Reservoir","Baker",44.97177,-117.495,17050203006368
