"","organism_id","confidence","sampling_id","sampling_type","taxon_id","count","size","notes"
"1",41,"H",65,"Rake Toss",50,0,NA,""
"2",42,"H",65,"Shoreline Observation",50,0,NA,""
"3",43,"H",67,"Shoreline Observation",50,0,NA,""
"4",44,"H",66,"Shoreline Observation",50,0,NA,""
"5",45,"M",72,"Rake Toss",37,3,NA,"Sagitaria cuneata"
"6",46,"H",72,"Rake Toss",37,2,NA,"Marsilea vestita"
"7",47,"M",72,"Rake Toss",39,3,NA,"Chara species"
"8",48,"M",72,"Rake Toss",39,3,NA,"Potamogeton pusillus"
"9",49,"H",73,"Portland Substrate Sampler",50,0,NA,""
"10",50,"H",77,"Portland Substrate Sampler",50,0,NA,"Lake dropped so lowest sampler tube was probably covered with silt. Only algae on sampler, no other organisms."
"11",51,"H",78,"Rake Toss",50,4,NA,""
"12",9,"H",38,"Rake Toss",29,2,NA,"Sample collected at So Shore CG dock."
"13",8,"M",38,"Rake Toss",34,2,NA,"This sample and two previous were taken 50' from church camp dock at east end of lake."
"14",7,"H",38,"Rake Toss",43,2,NA,""
"15",6,"H",38,"Rake Toss",29,3,NA,""
"16",5,"M",38,"Rake Toss",34,1,NA,">14 leaflets. sample taken 50' off Cinder Beach"
"17",4,"M",38,"Rake Toss",34,1,NA,"sample taken at Suttle Lake Lodge marina"
"18",10,"",39,"Portland Substrate Sampler",NA,NA,NA,"No organisms after 4 weeks in place"
"19",53,"M",59,"Rake Toss",13,1,NA,"R/O Planorbidae snail Neoplanorbis sp, from Thorp & Covich, ""Ecology & Classification of North American Fresh Water Invertebrates""."
"20",54,"M",62,"Rake Toss",7,1,NA,"Only an uninhabited & degraded shell was found.  It has been given to OLW staff."
"21",23,"H",54,"Portland Substrate Sampler",50,1,NA,""
"22",57,"H",81,"Shoreline Observation",23,1,NA,""
"23",24,"M",58,"Rake Toss",43,3,NA,""
"24",25,"M",58,"Rake Toss",29,3,NA,""
"25",26,"M",58,"Rake Toss",39,3,NA,"coontail"
"26",27,"H",58,"Rake Toss",39,3,NA,"Nitella"
"27",28,"M",58,"Rake Toss",26,2,NA,"sample location 45.5283, -122.4458"
"28",29,"M",59,"Rake Toss",43,3,NA,""
"29",30,"M",59,"Rake Toss",29,3,NA,""
"30",31,"M",59,"Rake Toss",39,3,NA,"coontail with globular fruit"
"31",32,"M",59,"Rake Toss",23,2,NA,"14 leaflet pairs in whorls of 4.  Leaves have squared ends.  Sampling location 45.5285, -122.4479."
"32",33,"M",59,"Shoreline Observation",44,3,NA,""
"33",34,"H",59,"Shoreline Observation",48,3,NA,""
"34",35,"M",62,"Rake Toss",43,3,NA,""
"35",36,"M",62,"Rake Toss",39,3,NA,"coontail"
"36",37,"M",62,"Rake Toss",34,3,NA,""
"37",38,"M",62,"Rake Toss",29,3,NA,"sample location = 45.5282, -122.4465"
"38",39,"M",62,"Rake Toss",26,2,NA,"sample location 45.5283, -122.4458, which is different from rest of 23 Sep sample but the same location as 4 Jul."
"39",40,"H",68,"Minnow Trap",50,0,NA,"crayfish are present in the lake, but did not get any in traps; appears to be the native signal crayfish (will increase effort and confirm in 2014)"
"40",58,"M",81,"Shoreline Observation",11,2,NA,""
"41",59,"M",81,"Shoreline Observation",13,2,NA,"was identified at PSU as Physa"
"42",60,"H",81,"Shoreline Observation",51,3,NA,""
"43",61,"H",80,"Shoreline Observation",51,3,NA,""
"44",65,"H",86,"Shoreline Observation",50,0,NA,"Resort owners report they have seen people putting out crayfish traps, but they are not aware of anyone ever catching any. Observed dead fish in shallow water near the resort, but pulled them out and did not observe any crayfish or predation on the fish."
"45",56,"M",80,"Shoreline Observation",35,3,NA,"Other common plants Egeria, Typha (perhaps angustifolia). "
"46",62,"H",80,"Shoreline Observation",36,3,NA,""
"47",63,"H",84,"Shoreline Observation",50,0,NA,""
"48",64,"H",85,"Shoreline Observation",50,0,NA,"Rough-skinned newts in the shallows. No small fish observed in the circulating channel. We used to always see them here!"
"49",66,"H",87,"Shoreline Observation",50,0,NA,"Observed Osprey, and several ducks on water. No emergent vegetation observed while rowing along shoreline. "
"50",67,"H",88,"Shoreline Observation",50,0,NA,"Osprey and ducks (mallards and bufflehead). No vegetation along the shoreline. Collected a bryophyte sample off the resort dock."
"51",68,"H",89,"Shoreline Observation",50,0,NA,"Off the water at 1115 hrs"
"52",69,"H",90,"Shoreline Observation",50,0,NA,"no waterfowl, no raptors. A grayjay hanging around Peninsula Campground."
"53",70,"H",92,"Shoreline Observation",50,0,NA,""
"54",71,"H",93,"Shoreline Observation",50,0,NA,"Rowed around shoreline and observed no vegetation or signs of crayfish."
"55",72,"H",95,"Shoreline Observation",50,0,NA,"Rowed around shoreline and observed no emergent vegetation of crayfish tracks in the soft bottoom"
"56",73,"H",97,"Shoreline Observation",50,0,NA,"Constantly watching as I stand up and row. No vegetation or animals observed."
"57",74,"H",98,"Shoreline Observation",50,0,NA,"Both participants made constant observations of the bottom and shoreline and saw no aquatic macrophytes or crayfish (or their mud trails)."
"58",75,"H",99,"Shoreline Observation",50,0,NA,"Rowed entirely around the lake. Some interesting birds, but nothing else to report."
"59",76,"H",101,"Shoreline Observation",35,2,NA,""
"60",77,"M",103,"Rake Toss",43,3,NA,"No photos."
"61",78,"M",103,"Shoreline Observation",NA,3,NA,"Other plants above waterline - Spirea, Phalaris, Typha"
