"","sampling_id","site_id","sampling_date","secchi","temperature","substrate","trap","rake","zigzag","notes"
"1",17,22,2013-08-30,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"VM (6/12/14): No AIS (plant/animal) observed."
"2",167,91,2014-08-08,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,""
"3",187,21,2014-09-06,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Strong East winds for the several days prior to sampling.  I think this mixed the lake and influenced the temperature profile as well as transparency."
"4",29,18,2013-09-13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"5",180,95,2014-07-15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,""
"6",179,94,2014-07-15,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,""
"7",72,52,2013-07-13,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,""
"8",71,51,2013-07-13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"9",69,49,2013-07-13,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Weather clear, wind calm. Put crayfish trap out for about 4 hours, tied to an old large stump - nothing in trap.

Did shoreline observation, no aquatic or terrestrial invasive species seen. "
"10",73,53,2013-07-13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,""
"11",77,53,2013-09-19,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Retrieved sampler from the site for the winter (floating restroom is removed in early Oct)"
"12",76,54,2013-09-19,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"13",74,50,2013-09-19,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Clumps of algae floating throughout water column"
"14",14,17,2013-07-20,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"15",18,14,2013-08-30,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"No crayfish caught.  Lake level dropped about 20 vertical feet.  Original Site 1 survey was high and dry. No vegetation at new lake shoreline"
"16",6,14,2013-07-20,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"As summer progressed the lake dropped 20 plus vertical feet and this site ended up high and dry for several months."
"17",7,15,2013-07-20,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"VM (6/12/14): No AIS (plant/animal) observed."
"18",124,42,2014-04-26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Geese & fluffy goslings on shore."
"19",19,18,2013-07-19,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No vegetation waist deep out to 20 feet.
No AIS on shoreline."
"20",20,19,2013-07-19,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No vegetation on bottom out to 20 feet.
Lots of crawfish shells. All native Signal crawfish."
"21",21,20,2013-07-19,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No invasive plants on shoreline.  No vegetation on bottom. "
"22",24,21,2013-07-19,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"23",25,21,2013-08-10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Major thunderstorms the night before. Water had sediment from the runoff."
"24",26,18,2013-08-10,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"No crawfish caught.  No vegetation on bottom.  No invasive plants on shoreline"
"25",27,19,2013-08-10,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE," No vegetation on bottom. No invasive plants on shoreline"
"26",30,18,2013-09-13,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"No crayfish caught.   No vegetation on bottom. No invasive plants on shoreline"
"27",28,20,2013-08-10,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No vegetation on bottom. No invasive plants on shoreline"
"28",31,19,2013-09-13,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"No vegetation on bottom. No invasive plants on shoreline"
"29",32,20,2013-09-13,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE," No vegetation on bottom. No invasive plants on shoreline"
"30",37,31,2013-07-10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"31",38,31,2013-07-23,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"Crayfish trap at Link Ck - none
Portland Sampler placed at Suttle Lake Lodge dock 
"
"32",39,31,2013-08-29,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Nate Nachtler and Pete Schay collected this data. "
"33",57,42,2013-06-11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"34",58,42,2013-07-04,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,""
"35",59,42,2013-07-20,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,""
"36",60,42,2013-08-14,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"37",63,42,2013-10-02,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"38",61,42,2013-09-02,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Note (V. Morgan) - No temp data uploaded."
"39",64,42,2014-02-22,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"40",65,45,2012-06-29,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,""
"41",66,46,2013-06-29,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,""
"42",67,47,2013-06-29,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,""
"43",68,48,2014-03-05,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,""
"44",93,62,2013-06-30,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"I am the only boat on the lake. There is a ""rough"" launch site near the road on the west side of the lake. Rough launch, even for a drift boat!"
"45",95,63,2013-06-30,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"South basin site was in variable locations, but tried to pick a representative site near center of lake."
"46",123,71,2013-09-19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"data collected by Tom and Barb Rupers, entered by Rich Miller"
"47",153,89,2014-07-24,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,""
"48",239,127,2014-09-16,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Sandy near shore, rocky bottom 15' out. No snails or any critters. No plants, only filamentous algae."
"49",238,126,2014-09-16,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"P. pusillus, Chara spp. Dead native snails and crafish. Sandy bottom, no rocks at this water level."
