"","taxon_id","taxa_group","scientific_name","common_name","watchlist2"
"1",32,"Plant","Lemna sp.","duckweed","native"
"2",33,"Plant","Ludwigia palustris","water-purslane","native"
"3",52,"Plant","Comaraum palustre","purple marshlocks, marsh cinquefoil","native"
"4",8,"Mollusk","Corbicula fluminea","Asian clam","watch list"
"5",30,"Plant","Elodea nuttallii","Nuttalls waterweed, western waterweed","native"
"6",14,"Plant","Arundo donax","giant reed","watch list"
"7",35,"Plant","Nuphar polysepala","yellow water-lily","native"
"8",34,"Plant","Myriophyllum sp.","water-milfoil","other"
"9",10,"Mollusk","Potamopyrgus antipodarum","New Zealand mudsnails","watch list"
"10",9,"Mollusk","Dreissena spp.","zebra or quagga mussels","watch list"
"11",7,"Mollusk","Cipangopaludina chinensis/C. japonica","Mystery Snails ","watch list"
"12",53,"Plant","Equisetum sp.","horsetail","native"
"13",12,"Mollusk","Other - bivalve","Other - mussel/clam","other"
"14",5,"Crayfish","Other","Other","other"
"15",13,"Mollusk","Other - gastropod","Other - snail","other"
"16",17,"Plant","Hydrilla verticillata","hydrilla","watch list"
"17",19,"Plant","Limnobium laevigatum","South American spongeplant","watch list"
"18",11,"Mollusk","Juga sp.","juga, river snails","native"
"19",55,"Plant","Angelica sp.","Angelica","watch list"
"20",20,"Plant","Ludwigia sp. (invasive)","large-flower primrose-willow","watch list"
"21",21,"Plant","Lythrum salicaria","purple loosestrife","watch list"
"22",36,"Plant","Nymphaea odorata","fragrant waterlily","other"
"23",51,"Plant","Brasenia schreberi","watershield","native"
"24",56,"Plant","Nitella sp.","nitella, brittlewort","native"
"25",57,"Plant","Menyanthes trifoliata","buckbean, bogbean","native"
"26",22,"Plant","Myriophyllum aquaticum","parrots feather, parrot feather watermilfoil","watch list"
"27",27,"Plant","Trapa natans","water chestnut","watch list"
"28",18,"Plant","Iris pseudacorus","yellow flag iris","watch list"
"29",31,"Plant","Juncus sp.","Rush","native"
"30",58,"Plant","Hypericum anagalloides","tinker's penny, creeping St. John's wort","native"
"31",3,"Crayfish","Orconectes virilis","Virile crayfish","watch list"
"32",4,"Crayfish","Procambarus clarkii","Red swamp crayfish","watch list"
"33",6,"Crayfish","Pacifastacus leniusculus","Signal Crayfish ","native"
"34",15,"Plant","Butomus umbellatus","flowering rush","watch list"
"35",16,"Plant","Egeria densa","South American waterweed, Brazilian elodea","watch list"
"36",28,"Plant","Chamerion angustifolium","fireweed","native"
"37",29,"Plant","Elodea canadensis","common elodea, Canadian waterweed","native"
"38",48,"Plant","Typha sp.","cat-tail","other"
"39",42,"Plant","Potamogeton richardsonii","Richardsons pondweed","native"
"40",46,"Plant","Typha angustifolia","lesser cat-tail","watch list"
"41",1,"Crayfish","Orconectes neglectus","Ringed crayfish","watch list"
"42",2,"Crayfish","Orconectes rusticus","Rusty crayfish","watch list"
"43",25,"Plant","Phragmites australis ssp. australis","invasive common reed","watch list"
"44",26,"Plant","Potamogeton crispus","curly leaf pondweed","watch list"
"45",23,"Plant","Myriophyllum spicatum","Eurasian watermilfoil","watch list"
"46",24,"Plant","Nymphoides peltata","yellow floating heart","watch list"
"47",45,"Plant","Spiraea douglasii","hardhack, spirea","native"
"48",44,"Plant","Schoenoplectus sp.","bulrush","native"
"49",47,"Plant","Typha latifolia","common cat-tail","native"
"50",41,"Plant","Phragmites australis ssp. americanus","native common reed","native"
"51",37,"Plant","Other - emergent","Other - emergent","other"
"52",38,"Plant","Other - floating-leaved","Other - floating-leaved","other"
"53",39,"Plant","Other - submerged","Other - submerged","other"
"54",40,"Plant","Phalaris arundinacia","reed canarygrass","other"
"55",43,"Plant","Potamogeton sp.","pondweed","other"
"56",50,"","None Detected","Nothing","other"
